CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
movement_none_voting;Movement for No Voting Rights;;;;;;;;x;;;;;;;;;;;;;
movement_harassed_voting;Movement for Universal Suffrage;;;;;;;;x;;;;;;;;;;;;;
movement_rigged_voting;Movement for Universal Suffrage;;;;;;;;x;;;;;;;;;;;;;
movement_gerrymandered_voting;Movement for Universal Suffrage;;;;;;;;x;;;;;;;;;;;;;
movement_free_voting;Movement for Universal Suffrage;;;;;;;;x;;;;;;;;;;;;;
movement_ruling_party_opinion;Movement for Stable Government;;;;;;;;x;;;;;;;;;;;;;
movement_appointed_opinion;Movement for Upper House Reform;;;;;;;;x;;;;;;;;;;;;;
movement_semi_democratic_state_opinion;Movement for Upper House Reform;;;;;;;;x;;;;;;;;;;;;;
movement_democratic_state_opinion;Movement for Upper House Reform;;;;;;;;x;;;;;;;;;;;;;
movement_popular_opinion;Movement for Upper House Reform;;;;;;;;x;;;;;;;;;;;;;
movement_no_meetings;Movement for No Meeting Rights;;;;;;;;x;;;;;;;;;;;;;
movement_limited_meetings;Movement for Freedom of Assembly;;;;;;;;x;;;;;;;;;;;;;
movement_free_meetings;Movement for Freedom of Assembly;;;;;;;;x;;;;;;;;;;;;;
movement_politicised_service;Movement for Civil Service Reform;;;;;;;;x;;;;;;;;;;;;;
movement_elitist_service;Movement for Civil Service Reform;;;;;;;;x;;;;;;;;;;;;;
movement_professional_service;Movement for Civil Service Reform;;;;;;;;x;;;;;;;;;;;;;
movement_independent_service;Movement for Civil Service Reform;;;;;;;;x;;;;;;;;;;;;;
movement_state_publishing;Movement for State Press;;;;;;;;x;;;;;;;;;;;;;
movement_censored_publishing;Movement for Press Freedom;;;;;;;;x;;;;;;;;;;;;;
movement_responsible_publishing;Movement for Press Freedom;;;;;;;;x;;;;;;;;;;;;;
movement_free_publishing;Movement for Responsible Press;;;;;;;;x;;;;;;;;;;;;;
movement_no_trade_unions;Movement for No Trade Unions;;;;;;;;x;;;;;;;;;;;;;
movement_state_controlled_unions;Movement for State Trade Unions;;;;;;;;x;;;;;;;;;;;;;
movement_restricted_unions;Movement for Trade Union Rights;;;;;;;;x;;;;;;;;;;;;;
movement_free_trade_unions;Movement for Trade Union Rights;;;;;;;;x;;;;;;;;;;;;;
movement_parties_not_allowed;Movement to Ban Political Parties;;;;;;;;x;;;;;;;;;;;;;
movement_parties_restricted;Campaign for Political Party Rights;;;;;;;;x;;;;;;;;;;;;;
movement_parties_rigged;Campaign for Political Party Rights;;;;;;;;x;;;;;;;;;;;;;
movement_parties_short;Campaign for Political Party Rights;;;;;;;;x;;;;;;;;;;;;;
movement_parties_fair;Campaign for Political Party Rights;;;;;;;;x;;;;;;;;;;;;;
movement_nobody_gets_out;Movement to Ban Immigration;;;;;;;;x;;;;;;;;;;;;;
movement_quota_immigration;Campaign for Quota Immigration;;;;;;;;x;;;;;;;;;;;;;
movement_open_immigration;Campaign for Open Borders;;;;;;;;x;;;;;;;;;;;;;
movement_naturalization;Campaign for Immigration by Naturalisation;;;;;;;;x;;;;;;;;;;;;;
movement_promoted_immigration;Campaign for Greater Immigration;;;;;;;;x;;;;;;;;;;;;;
movement_mandatory_service;Movement for Unlimited Conscription;;;;;;;;x;;;;;;;;;;;;;
movement_three_year_draft;Campaign for 3 year Conscription;;;;;;;;x;;;;;;;;;;;;;
movement_two_year_draft;Campaign for 2 year Conscription;;;;;;;;x;;;;;;;;;;;;;
movement_one_year_draft;Campaign for 1 year Conscription;;;;;;;;x;;;;;;;;;;;;;
movement_no_draft;Campaign to Abolish Conscription;;;;;;;;x;;;;;;;;;;;;;
movement_minorities_oppression;Movement against Minority Rights;;;;;;;;x;;;;;;;;;;;;;
movement_minorities_equal_rights;Movement for Equal Rights;;;;;;;;x;;;;;;;;;;;;;
movement_minorities_affirmative_action;Movement for Affirmative Action;;;;;;;;x;;;;;;;;;;;;;
movement_first_past_the_post;Movement for First Past the Post;;;;;;;;x;;;;;;;;;;;;;
movement_jefferson_method;Movement for the Jefferson Method;;;;;;;;x;;;;;;;;;;;;;
movement_proportional_representation;Movement for Proportional Representation;;;;;;;;x;;;;;;;;;;;;;
movement_unregulated_hours;Movement for Unregulated Work Hours;;;;;;;;x;;;;;;;;;;;;;
movement_trinket_wage;Movement for Better Work Hours;;;;;;;;x;;;;;;;;;;;;;
movement_low_minimum_wage;Movement for Better Work Hours;;;;;;;;x;;;;;;;;;;;;;
movement_acceptable_minimum_wage;Movement for Better Work Hours;;;;;;;;x;;;;;;;;;;;;;
movement_good_minimum_wage;Movement for Better Work Hours;;;;;;;;x;;;;;;;;;;;;;
movement_basic_security;Movement Against Police Reform;;;;;;;;x;;;;;;;;;;;;;
movement_weak_security;Movement for Police Reform;;;;;;;;x;;;;;;;;;;;;;
movement_acceptable_security;Movement for Police Reform;;;;;;;;x;;;;;;;;;;;;;
movement_good_security;Movement for Police Reform;;;;;;;;x;;;;;;;;;;;;;
movement_excellent_security;Movement for Police Reform;;;;;;;;x;;;;;;;;;;;;;
movement_no_safety;Movement Against Safety Regulations;;;;;;;;x;;;;;;;;;;;;;
movement_trinket_safety;Movement for Better Safety Regulations;;;;;;;;x;;;;;;;;;;;;;
movement_low_safety;Movement for Better Safety Regulations;;;;;;;;x;;;;;;;;;;;;;
movement_acceptable_safety;Movement for Better Safety Regulations;;;;;;;;x;;;;;;;;;;;;;
movement_good_safety;Movement for Better Safety Regulations;;;;;;;;x;;;;;;;;;;;;;
movement_no_subsidies;Movement for No Unemployment Benefits;;;;;;;;x;;;;;;;;;;;;;
movement_trinket_subsidies;Movement for Better Unemployment Benefits;;;;;;;;x;;;;;;;;;;;;;
movement_low_subsidies;Movement for Better Unemployment Benefits;;;;;;;;x;;;;;;;;;;;;;
movement_extended_subsidies;Movement for Better Unemployment Benefits;;;;;;;;x;;;;;;;;;;;;;
movement_universal_subsidies;Movement for Universal Basic Income;;;;;;;;x;;;;;;;;;;;;;
movement_no_child_care;Movement for No Child Benefits;;;;;;;;x;;;;;;;;;;;;;
movement_limited_child_care;Movement for Better Child Benefits;;;;;;;;x;;;;;;;;;;;;;
movement_adequate_child_care;Movement for Better Child Benefits;;;;;;;;x;;;;;;;;;;;;;
movement_good_child_care;Movement for Better Child Benefits;;;;;;;;x;;;;;;;;;;;;;
movement_generous_child_care;Movement for Better Child Benefits;;;;;;;;x;;;;;;;;;;;;;
movement_no_pensions;Movement for No Pensions;;;;;;;;x;;;;;;;;;;;;;
movement_trinket_pensions;Movement for Better Pensions;;;;;;;;x;;;;;;;;;;;;;
movement_low_pensions;Movement for Better Pensions;;;;;;;;x;;;;;;;;;;;;;
movement_acceptable_pensions;Movement for Better Pensions;;;;;;;;x;;;;;;;;;;;;;
movement_good_pensions;Movement for Better Pensions;;;;;;;;x;;;;;;;;;;;;;
movement_no_health_care;Movement for Health Care Cost Reductions;;;;;;;;x;;;;;;;;;;;;;
movement_trinket_health_care;Movement for Better Health Care;;;;;;;;x;;;;;;;;;;;;;
movement_low_health_care;Movement for Better Health Care;;;;;;;;x;;;;;;;;;;;;;
movement_acceptable_health_care;Movement for Better Health Care;;;;;;;;x;;;;;;;;;;;;;
movement_good_health_care;Movement for Better Health Care;;;;;;;;x;;;;;;;;;;;;;
movement_no_controls;Movement Against Pollution Standards;;;;;;;;x;;;;;;;;;;;;;
movement_trinket_envir;Campaign for Less Pollution;;;;;;;;x;;;;;;;;;;;;;
movement_low_envir;Campaign for Less Pollution;;;;;;;;x;;;;;;;;;;;;;
movement_acceptable_envir;Campaign for Less Pollution;;;;;;;;x;;;;;;;;;;;;;
movement_good_envir;Campaign for Less Pollution;;;;;;;;x;;;;;;;;;;;;;
movement_private_education;Movement for Education Cost Reductions;;;;;;;;x;;;;;;;;;;;;;
movement_weak_public_education;Campaign for Education Reform;;;;;;;;x;;;;;;;;;;;;;
movement_competent_public_education;Campaign for Education Reform;;;;;;;;x;;;;;;;;;;;;;
movement_good_public_education;Campaign for Education Reform;;;;;;;;x;;;;;;;;;;;;;
movement_excellent_public_education;Campaign for Education Reform;;;;;;;;x;;;;;;;;;;;;;
movement_no_public_housing;Movement for Private Housing;;;;;;;;x;;;;;;;;;;;;;
movement_minimal_public_housing;Movement for Better Public Housing;;;;;;;;x;;;;;;;;;;;;;
movement_low_public_housing;Movement for Better Public Housing;;;;;;;;x;;;;;;;;;;;;;
movement_acceptable_public_housing;Movement for Better Public Housing;;;;;;;;x;;;;;;;;;;;;;
movement_good_public_housing;Movement for Better Public Housing;;;;;;;;x;;;;;;;;;;;;;
movement_capital_punishment;Movement for Penal Code Reform;;;;;;;;x;;;;;;;;;;;;;
movement_incarceration;Movement for Penal Code Reform;;;;;;;;x;;;;;;;;;;;;;
movement_rehabilitation;Movement for Penal Code Reform;;;;;;;;x;;;;;;;;;;;;;
